city,population,lat,lon,date,pm10,pm25,peak_temperature,precipitation_mm
Recklinghausen,122438,51.634445,7.2,2017-01-01,,,1.3,0.4
Recklinghausen,122438,51.634445,7.2,2017-01-02,,,3.5,4.0
Recklinghausen,122438,51.634445,7.2,2017-01-03,,,3.8,3.7
Recklinghausen,122438,51.634445,7.2,2017-01-04,,,5.7,3.5
Recklinghausen,122438,51.634445,7.2,2017-01-05,,,0.8,0.0
Recklinghausen,122438,51.634445,7.2,2017-01-06,,,-1.4,0.0
Recklinghausen,122438,51.634445,7.2,2017-01-07,,,0.3,2.1
Recklinghausen,122438,51.634445,7.2,2017-01-08,,,2.9,0.0
Recklinghausen,122438,51.634445,7.2,2017-01-09,,,4.4,0.4
Recklinghausen,122438,51.634445,7.2,2017-01-10,,,4.6,3.6
Recklinghausen,122438,51.634445,7.2,2017-01-11,19.0,,7.1,2.8
Recklinghausen,122438,51.634445,7.2,2017-01-12,18.0,,5.8,6.1
Recklinghausen,122438,51.634445,7.2,2017-01-13,9.0,,3.9,8.5
Recklinghausen,122438,51.634445,7.2,2017-01-14,11.0,,3.5,2.9
Recklinghausen,122438,51.634445,7.2,2017-01-15,21.0,,2.5,1.0
